,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
31,"Flounders 30+",0,0,0.03502396,0,0.0952699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006580993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,"Haddock <3",0.012545,0.06485194,0.001711998,0.001488995,0.00949299,0.009244991,0,0.006322006,0.004070995,0.004070995,0,0.00223,0,0,0.03843996,0.03843996,0.003816348,0.02125698,0.05671994,0.03123097,0,0,0,0,0,0,0,0,0,0,0,0,0.017737,0.003529997,0.007643992,0,0,0,0,0,0,0.002768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,"Haddock 3+",0,0.009605991,0.0008179992,0,0.01761098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2941507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,"L sculpin <25",0,0,0.001303999,0.000729,0,0.0001629998,0,0,0.0003799995,0.0003799995,0,0,0,0,0.008629991,0.008629991,0,0,0.03402996,0.01133799,0,0,0.003015997,0.0001829998,0,0,0,0,0,0,0,0,0,0.001053999,0.002273998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,"L sculpin 25+",0,0,0.01100999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,"Herring <4",0.073926,0.1365819,0.005578995,0.3092771,0.06827693,0.1093259,0,0.06407906,0.2363977,0.2363977,0,0,0.447494,0.03217503,0.4673175,0.4673175,0.001415988,0.09100391,0.1855898,0.2135368,0,0,0.01811798,0.02999297,0.258508,0,0,0,0,0,0,0,0.011786,0,0,0,0,0,0,0,0,0.012258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,"Herring 4+",0.089594,0.1968788,0.4870085,0,0.3303816,0.4789326,0,0.04180104,0.1004399,0.1004399,0,0,0.07026301,0,0,0,0.00380515,0.08936992,0,0.07483192,0,0,0,0,0.05229799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,"Other pelagic",0.0194,0.007396993,0.05680194,0.07663676,0.04387695,0.1276559,0,0.01247601,0.09192089,0.09192089,0.018319,0.030496,0.06424201,0.008163008,0.002218998,0.002218998,0.07084115,0.008247993,0.0007459992,0.04285895,0.01080399,0.029568,0.02243098,0.04578396,0.006191999,0.007741,0.029417,0.004934,0.005391,0.01061201,0.001190999,0.01262801,0.003427,0.01653299,0.03526796,0,0,0,0,0,0,0.004734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,Mackerel,0.010398,0.04417396,0.02815897,0.04363187,0.02364997,0.02666597,0,0.05530305,0,0,0,0,0,0,0.006816993,0.006816993,0,0.02717697,0,0.01119399,0,0,0,0,0.028541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,Mesopelagic,0,0,0,0.002380993,0,0,0,0.0001010001,0,0,0,0,0,0,0,0,0,0.0001619998,0,0.0004349995,0.02631398,0,0.001562999,0,6.999999E-06,0,2.8E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,"Small-medium benthivores",0,0,0.0005809994,0.002858991,0,0.0009269991,0,0.0006210006,0.0002079998,0.0002079998,0,0,0,0.0003940004,0,0,0,0,0.00955499,0.0006039994,0.01757298,0.046767,0.0008289992,0.003071997,0.007229999,0,0,0,0,0,0,0,7E-06,0.0008809992,0.001896998,0,0,0,0,0,0.0005850006,0,0.000838,0.001769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,Squids,0.011769,0.2679567,0.002056998,0.03595289,0.01354798,0.01555398,0,0.004383004,0.007024992,0.007024992,0.02913,0,0.047062,0.006183006,0.00990799,0.00990799,0.00214994,0.01683598,0.0881829,0.002041998,0.002899997,0.0003670001,0.003267997,0.009869991,0.04755399,0,0,0,0,0,0,0.0004500005,0.01407,0,0,0,0,0,0,0,0,0.037929,0,0.008357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,Lobster,0,0,2.099998E-05,0,0,7.199994E-05,0,3.400003E-05,0.0003969995,0.0003969995,0,0,0,0,0,0,0,0,0.001110999,0.0001529998,0.01110299,0.008531001,0,0.001687998,0.002615,0,0,0,0,0,0,0.002170002,0.002447,0.002627997,0.002561997,0,0,0,0,0,0,0,0.003342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
